clause_text,clause_type
"Provider shall not be liable for indirect or consequential damages.",liability
"Either party may terminate this Agreement with 30 days written notice.",termination
"Both parties agree to maintain confidentiality of proprietary information.",confidentiality
"Client shall pay monthly f
ees of $5,000 due within 30 days of invoice.",payment
"This Agreement is governed by the laws of the State of California.",governing_law
"Any amendment to this Agreement must be in writing and signed by both parties.",amendment
"Neither party shall be liable for delays due to force majeure events.",force_majeure
"The warranty period shall be twelve (12) months from the date of delivery.",warranty
"All intellectual property developed shall remain the property of Provider.",intellectual_property
"Limitation of liability applies to all claims arising under this Agreement.",limitation
